site_url,site_name,category,domain_authority_estimate,contact_email,guest_post_accepted,content_type,target_anchor_text,priority_level,notes
zkteco.com.tr,ZKTeco Türkiye,PDKS Competitor,75,info@zkteco.com.tr,Yes,Technical Guide,Mika Teknoloji,High,Market leader - partnership opportunity
polimek.com.tr,Polimek,PDKS Competitor,70,info@polimek.com.tr,Yes,Case Study,https://mikateknoloji.com,High,30 years experience - collaboration potential
perkotek.com,Perkotek,PDKS Competitor,65,info@perkotek.com,Yes,Product Review,personel devam kontrol sistemi,Medium,Strike/Magic Pass competitor
gazitek.com.tr,Gazitek,Security Systems,60,info@gazitek.com.tr,Yes,Technical Article,PDKS çözümleri,Medium,5000+ customers nationwide
shiftdelete.net,ShiftDelete.Net,Technology News,85,haber@shiftdelete.net,Yes,Tech News,Mika Teknoloji PDKS,High,Turkey's largest tech news site
wpmavi.com,WPMavi,SEO/Tech Blog,75,iletisim@wpmavi.com,Yes,SEO Guide,mikateknoloji.com,High,SEO focused - high relevance
tamseo.com,TamSEO,SEO Blog,70,iletisim@tamseo.com,Yes,Backlink Guide,Mika Teknoloji,Medium,50 backlink sources article
techdergi.net,Tech Dergi,Technology Magazine,65,editor@techdergi.net,Yes,Industry News,PDKS sistemleri,Medium,General tech coverage
dijitalzade.com,Dijitalzade,Digital Marketing,60,info@dijitalzade.com,Yes,Marketing Case,Mika Teknoloji,Medium,Digital marketing focus
kolayik.com,Kolay İK,HR Management,70,blog@kolayik.com,Yes,HR Tech,personel takip sistemi,High,HR software - direct audience match
plena.pro,Plena Pro,Personnel Management,65,info@plena.pro,Yes,Workforce Guide,PDKS yazılımı,High,Personnel management focus
ik.kobivadisi.com,Kobi Vadisi İK,SME HR Solutions,55,info@kobivadisi.com,Yes,SME Guide,https://mikateknoloji.com,Medium,SME target market
berqnet.com,Berqnet,Cyber Security,60,blog@berqnet.com,Maybe,Security Article,güvenlik sistemleri,Medium,Security tech relevance
gaissecurity.com,Gais Cyber Security,Penetration Testing,55,info@gaissecurity.com,Maybe,Security Tech,Mika Teknoloji,Low,Cyber security focus
m5dergi.com,M5 Dergi,Defense/Security,60,yayin@m5dergi.com,Yes,Security Industry,güvenlik teknolojileri,Medium,Defense industry magazine
gsd.msu.edu.tr,Güvenlik Stratejileri Dergisi,Academic Security,80,gsd@msu.edu.tr,Maybe,Academic Article,personel güvenlik sistemleri,Low,Academic focus - high authority
dergipark.org.tr,TÜBİTAK DergiPark,Academic Platform,90,None,No,Academic Paper,Mika Teknoloji,Low,Academic publishing platform
candanpdks.com,Candan PDKS,PDKS Blog,45,info@candanpdks.com,Yes,Industry Guide,PDKS çözümleri,Medium,ZKSoftware distributor
perpahaber.com,Perpa Haber,Business News,50,haber@perpahaber.com,Yes,Business News,Mika Teknoloji,Medium,Business news platform
medium.com,Medium,Content Platform,95,None,Yes,Thought Leadership,Mika Teknoloji uzmanı,High,Global platform - Turkish content
linkedin.com,LinkedIn Articles,Professional Network,100,None,Yes,Industry Insights,mikateknoloji.com,High,B2B professional audience
github.com,GitHub,Developer Platform,100,None,Yes,Open Source Project,Mika Teknoloji,Medium,Technical developer audience
slideshare.net,SlideShare,Presentation Platform,85,None,Yes,Industry Presentation,PDKS sistemleri,Medium,Professional presentations
issuu.com,Issuu,Digital Publishing,75,None,Yes,Digital Magazine,Mika Teknoloji,Low,Digital publishing platform
quora.com,Quora,Q&A Platform,90,None,Yes,Expert Answer,https://mikateknoloji.com,Medium,Question answering platform
reddit.com,Reddit,Community Platform,95,None,Maybe,Community Post,PDKS uzmanı,Low,Community discussions
youtube.com,YouTube,Video Platform,100,None,Yes,Educational Video,Mika Teknoloji,High,Video content opportunity
facebook.com,Facebook Business,Social Network,100,None,Yes,Business Post,mikateknoloji.com,Medium,Social media presence
twitter.com,Twitter/X,Microblogging,95,None,Yes,Industry Tweet,@MikaTeklonogi,Medium,Real-time industry updates
instagram.com,Instagram Business,Visual Platform,100,None,Yes,Visual Content,Mika Teknoloji,Low,Visual content opportunity
